nb_tours=1000;choixAlgo=1;

nb_bit_moy_genere;debit_total_simu;total_nbBitsgenere;debitTotal;delais_moyen;PDOR;res_sommeUR;bit_par_UR;taux_remplissage_buffer;nbPaquetsTotalsommePaquets_consommer;
230.0;1714.263;3433436.0;3428526.0;1.3664904973574603;0.0;90.1003125;5.945675132924761;1115.781;85713.0;
232.0;1736.7625;3474764.0;3473525.0;1.9266450171583869;0.0;91.26609375;5.946767950173172;1583.686;86838.0;
234.0;1754.12;3508624.0;3508240.0;2.0596994504366863;0.0;92.1465625;5.9488111669928;1716.5545;87706.0;
236.0;1759.5475;3519604.0;3519095.0;2.1065505757186536;0.0;92.48578125;5.945331123534192;1764.816;87977.0;
238.0;1778.945;3579916.0;3557890.0;2.1463167835941714;0.0;93.33296875;5.956312329345036;1840.5005;88944.0;
240.0;1764.997;3538900.0;3529994.0;2.111028011966277;0.0;92.680625;5.951206765168017;1780.615;88248.0;
242.0;1766.58;3533516.0;3533160.0;2.2948069150562103;0.0;92.785;5.94984372473999;1923.075;88329.0;
244.0;1751.5755;3507496.0;3503151.0;2.0796574364830147;0.0;91.96078125;5.95218240112548;1730.913;87575.0;
246.0;1802.421;3638920.0;3604842.0;3.0467725290455743;0.0;94.706875;5.947367205390316;2747.3115;90117.0;
248.0;1907.219;3854652.0;3814438.0;20.069089917570317;1.1137445728548356;99.6484375;5.981086632693062;19141.6025;95354.0;
250.0;1836.38;3673200.0;3672760.0;4.397542992191159;0.0;96.2525;5.962117867068388;3873.156;91819.0;
252.0;1869.7;3754932.0;3739400.0;6.893990286900152;0.4931430649750754;97.89093749999999;5.968696029701421;6354.7015;93482.0;
254.0;1882.727;3819860.0;3765454.0;11.078104748751727;0.0;98.39093749999999;5.97973962286923;10468.8945;94130.0;
256.0;1903.12;3824032.0;3806240.0;16.600063058328953;0.0;99.4003125;5.983130083217797;15522.5385;95150.0;
258.0;1863.5095;3735524.0;3727019.0;6.223841670870317;0.0;97.60875;5.966132326763738;5615.731;93173.0;
260.0;1913.9845;3921476.0;3827969.0;17.78407808385236;0.05120595243071521;99.925625;5.985653392210456;17672.4185;95692.0;
262.0;1915.5865;3968608.0;3831173.0;35.426718872357085;3.9592795614722003;100.0;5.9862078125;37057.1345;95775.0;
264.0;1916.1015;3986984.0;3832203.0;40.13313430343013;8.218334411991899;99.87718749999999;5.995180017959557;40319.8085;95798.0;
266.0;1912.87;3941368.0;3825740.0;45.9641979568577;8.031410437383022;99.67796875;5.997031064098605;45596.022;95637.0;
268.0;1912.66;4017252.0;3825320.0;47.94717028485381;6.952984481532605;99.738125;5.992756029853178;48335.6605;95628.0;
270.0;1910.0275;3960880.0;3820055.0;27.630091942949296;0.24713594571386682;99.67765625;5.988138327138887;27810.3525;95494.0;
